GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US09,09,Connecticut,44153,1016
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",61389,20753
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",37996,2289
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",113846,73157
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",53405,5047
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",240375,97161
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",89662,15506
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",96450,19149
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",75417,14204
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",-,**
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",104063,59993
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",104229,11238
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",142557,81347
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",53131,6760
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",103333,92727
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",176563,131474
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",63706,21636
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",-,**
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",51603,2720
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",77018,6976
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",101932,24777
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",-,**
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",104479,90658
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",156107,49118
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",204583,59981
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",135205,44423
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",95250,88469
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",49064,6104
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",150368,85402
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",84188,29005
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",-,**
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",40387,3529
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",86786,79901
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",57083,27207
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",130893,48656
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",-,**
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",-,**
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",25778,1516
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",-,**
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",41045,7468
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",120930,75437
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",34955,3353
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",62417,23228
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",61771,20992
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",39180,10098
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",114257,8175
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",87250,13935
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",102386,42889
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",107596,48989
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",71389,15834
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",79893,19385
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",99139,10505
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",100078,54522
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",-,**
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",-,**
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",112188,5238
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",-,**
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",-,**
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",-,**
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",-,**
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",-,**
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",-,**
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",49000,25769
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",-,**
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",88649,78053
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",73177,37521
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",-,**
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",42455,18799
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",-,**
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",78958,50276
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",-,**
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",-,**
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",-,**
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",42204,15493
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",63214,61136
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",-,**
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",-,**
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",59119,58545
0600000US0900587910,0900587910,"Woodbury town, Litchfield County, Connecticut",80161,56113
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",-,**
0600000US0900714300,0900714300,"Chester town, Middlesex County, Connecticut",-,**
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",70446,54526
0600000US0900718080,0900718080,"Cromwell town, Middlesex County, Connecticut",111250,56155
0600000US0900719130,0900719130,"Deep River town, Middlesex County, Connecticut",-,**
0600000US0900720810,0900720810,"Durham town, Middlesex County, Connecticut",-,**
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",101977,25187
0600000US0900722490,0900722490,"East Hampton town, Middlesex County, Connecticut",-,**
0600000US0900726270,0900726270,"Essex town, Middlesex County, Connecticut",72344,29377
0600000US0900735230,0900735230,"Haddam town, Middlesex County, Connecticut",-,**
0600000US0900740710,0900740710,"Killingworth town, Middlesex County, Connecticut",181691,166853
0600000US0900747080,0900747080,"Middlefield town, Middlesex County, Connecticut",88214,40730
0600000US0900747360,0900747360,"Middletown town, Middlesex County, Connecticut",47313,18383
0600000US0900757320,0900757320,"Old Saybrook town, Middlesex County, Connecticut",93158,75309
0600000US0900761800,0900761800,"Portland town, Middlesex County, Connecticut",84773,45221
0600000US0900781680,0900781680,"Westbrook town, Middlesex County, Connecticut",-,**
0600000US0900900000,0900900000,"County subdivisions not defined, New Haven County, Connecticut",-,**
0600000US0900901220,0900901220,"Ansonia town, New Haven County, Connecticut",41505,4698
0600000US0900903250,0900903250,"Beacon Falls town, New Haven County, Connecticut",157650,134302
0600000US0900904580,0900904580,"Bethany town, New Haven County, Connecticut",183438,169851
0600000US0900907310,0900907310,"Branford town, New Haven County, Connecticut",73750,40061
0600000US0900914160,0900914160,"Cheshire town, New Haven County, Connecticut",191250,140120
0600000US0900919550,0900919550,"Derby town, New Haven County, Connecticut",35046,11148
0600000US0900922910,0900922910,"East Haven town, New Haven County, Connecticut",59908,7138
0600000US0900934950,0900934950,"Guilford town, New Haven County, Connecticut",88906,71564
0600000US0900935650,0900935650,"Hamden town, New Haven County, Connecticut",73550,6464
0600000US0900944560,0900944560,"Madison town, New Haven County, Connecticut",-,**
0600000US0900946520,0900946520,"Meriden town, New Haven County, Connecticut",42773,2828
0600000US0900946940,0900946940,"Middlebury town, New Haven County, Connecticut",193194,123556
0600000US0900947535,0900947535,"Milford town, New Haven County, Connecticut",79091,23455
0600000US0900949950,0900949950,"Naugatuck town, New Haven County, Connecticut",76814,22011
0600000US0900952070,0900952070,"New Haven town, New Haven County, Connecticut",35510,2752
0600000US0900953890,0900953890,"North Branford town, New Haven County, Connecticut",104188,104101
0600000US0900954870,0900954870,"North Haven town, New Haven County, Connecticut",67614,18086
0600000US0900957600,0900957600,"Orange town, New Haven County, Connecticut",122875,112342
0600000US0900958300,0900958300,"Oxford town, New Haven County, Connecticut",143487,68534
0600000US0900962290,0900962290,"Prospect town, New Haven County, Connecticut",-,**
0600000US0900967610,0900967610,"Seymour town, New Haven County, Connecticut",51940,30877
0600000US0900969640,0900969640,"Southbury town, New Haven County, Connecticut",140602,68309
0600000US0900978740,0900978740,"Wallingford town, New Haven County, Connecticut",78383,16470
0600000US0900980070,0900980070,"Waterbury town, New Haven County, Connecticut",26836,2881
0600000US0900982870,0900982870,"West Haven town, New Haven County, Connecticut",53575,3772
0600000US0900987560,0900987560,"Wolcott town, New Haven County, Connecticut",94712,91888
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",-,**
0600000US0901100000,0901100000,"County subdivisions not defined, New London County, Connecticut",-,**
0600000US0901106820,0901106820,"Bozrah town, New London County, Connecticut",-,**
0600000US0901115910,0901115910,"Colchester town, New London County, Connecticut",-,**
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",99737,27727
0600000US0901129910,0901129910,"Franklin town, New London County, Connecticut",150583,36282
0600000US0901133900,0901133900,"Griswold town, New London County, Connecticut",-,**
0600000US0901134250,0901134250,"Groton town, New London County, Connecticut",51831,9143
0600000US0901142390,0901142390,"Lebanon town, New London County, Connecticut",-,**
0600000US0901142600,0901142600,"Ledyard town, New London County, Connecticut",82059,29510
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",-,**
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",-,**
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",81875,18788
0600000US0901152350,0901152350,"New London town, New London County, Connecticut",27396,5849
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",-,**
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",51638,10945
0600000US0901157040,0901157040,"Old Lyme town, New London County, Connecticut",138929,132918
0600000US0901162150,0901162150,"Preston town, New London County, Connecticut",-,**
0600000US0901166210,0901166210,"Salem town, New London County, Connecticut",51125,23328
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",-,**
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",71250,70125
